系列,遭遇组,编号,卡牌名称,英文名称,类型,探险编号,图片链接,卡牌数量,探险进度,交战值,威胁值,攻击力,防御值,探险点数,生命值,意志值,特性,胜利,准备卡牌,放置一旁,关键字,费用
风暴天气,风暴天气,151,海龙卷,Waterspout,地区,,4d925556-3a39-4e49-aafa-0adac6cacc52.jpg,2,,,2,,,4,,,海洋,,,,,
风暴天气,风暴天气,152,突来暴风,Sudden Storms,诡计,,7691fb33-603e-4460-9f09-5f96bc05c2bb.jpg,3,,,,,,,,,天气,,,,,
风暴天气,风暴天气,153,愤怒之风,Winds of Wrath,诡计,,71d7dd78-a967-43dd-ab73-e46a5d4d4519.jpg,2,,,,,,,,,天气,,,,航行1,
乌姆巴尔舰队,乌姆巴尔舰队,154,轻型巡洋舰,Light Cruiser,敌人,,c1273c2f-a616-45ee-804d-a16c28b6e63d.jpg,2,,37,4,6,5,,7,,海盗|船,,,,登船2,
乌姆巴尔舰队,乌姆巴尔舰队,155,海盗战船,Corsair Warship,敌人,,a312e181-9209-4460-b6ba-c90c99e011fe.jpg,2,,44,3,8,4,,9,,海盗|船,6,,,登船3,
乌姆巴尔舰队,乌姆巴尔舰队,156,登船小队,Boarding Party,诡计,,28ba7c20-b660-40cb-9e2c-bf6ebaec723e.jpg,2,,,,,,,,,,,,,,
海盗,海盗,157,南方的水手,Southron Sailor,敌人,,b171f1fa-a603-43ab-97c9-f950ee3b3599.jpg,2,,28,0,2,1,,4,,海盗,,,,,
海盗,海盗,158,狡猾的海盗,Cunning Pirate,敌人,,4d85bbe6-1bc7-4890-8974-e42e2d0f9431.jpg,3,,36,1,2,2,,4,,海盗|掠夺者,,,,,
海盗,海盗,159,邪恶的掠夺者,Vicious Marauder,敌人,,2362af02-42b8-43fe-b3b6-f11f011b3197.jpg,2,,12,2,3,3,,3,,海盗|掠夺者,,,,,
海盗,海盗,160,昂巴船长,Umbar Captain,敌人,,27bdece4-dfac-438e-87cd-1dc653eab8d6.jpg,2,,40,4,5,3,,5,,海盗,,,,,
海盗掠夺者,海盗掠夺者,161,昂巴掠夺者,Umbar Raider,敌人,,d03bdefa-cc39-43b6-9af9-feeb33858958.jpg,3,,24,2,3,2,,4,,海盗|掠夺者,,,,,
海盗掠夺者,海盗掠夺者,162,海盗潜入者,Corsair Infiltrator,敌人,,d7885efa-3af6-48e6-8eb1-5750892fdb34.jpg,2,,16,2,3,3,,2,,海盗|掠夺者,,,,,
海盗掠夺者,海盗掠夺者,163,掠夺队头目,Raid Leader,敌人,,4b3a4229-eb85-49b0-9f34-78cb17301b34.jpg,2,,40,3,5,1,,5,,海盗|掠夺者,,,,,
海盗掠夺者,海盗掠夺者,164,老练战士,Battle-Hardened,诡计,,c057b0ef-eb85-4afc-9ca8-60a0cca92bcc.jpg,2,,,,,,,,,,,,,,
溺水的死者,溺水的死者,165,淹死鬼,Drowned Dead,敌人,,79d5dc52-cfee-49f9-8a3d-1d4a7a749af2.jpg,3,,32,2,4,3,,3,,亡灵,,,,,
溺水的死者,溺水的死者,166,无魂死尸,Soulless Cadaver,敌人,,69a3ace6-7588-4ec4-91de-780b56502d8a.jpg,2,,38,3,3,2,,4,,亡灵,,,,,
溺水的死者,溺水的死者,167,成群的不忠者,Throngs of Unfaithful,敌人,,159f5a8f-1e1f-4282-9936-94b10e348176.jpg,2,,26,1,2,0,,4,,亡灵,,,,涌动,
溺水的死者,溺水的死者,168,堕落者的诅咒,Curse of the Downfallen,诡计,,ab5fec4c-b353-47e5-ae47-db7daf7f9088.jpg,2,,,,,,,,,,,,,,
努门诺尔废墟,努门诺尔废墟,169,被水漫的废墟,Flooded Ruins,地区,,fb5e0cb9-914f-49ee-8e21-534e89bc5533.jpg,2,,,3,,,5,,,废墟,,,,未知,
努门诺尔废墟,努门诺尔废墟,170,被淹没的坟墓,Drowned Graves,地区,,d7ef4ad0-93f1-4c03-a04b-cdfe6339eb41.jpg,2,,,2,,,2,,,废墟,,,,未知,
努门诺尔废墟,努门诺尔废墟,171,被诅咒的神庙,Cursed Temple,地区,,201569b2-d203-4a2a-b3e4-5dd396b8341a.jpg,2,,,1,,,3,,,废墟,,,,未知,
努门诺尔废墟,努门诺尔废墟,172,漫无目的的游荡,Aimless Wandering,诡计,,a8918c80-f092-4649-bb5c-9f7fde3cef75.jpg,3,,,,,,,,,,,,,,
风暴召唤者精英,风暴召唤者精英,173,萨伊尔船长,Captain Sahír,敌人,,97bf780d-cd76-492f-a970-37f78273c5bb.jpg,1,,4,6,6,2,,5,,海盗|掠夺者,6,,,,
风暴召唤者精英,风暴召唤者精英,174,萨伊尔船长,Captain Sahír,目标|盟友,,97bf780d-cd76-492f-a970-37f78273c5bb.B.jpg,1,,,,0,2,,5,0,海盗|掠夺者,,,,,
风暴召唤者精英,风暴召唤者精英,175,娜阿西雅,Na'asiyah,敌人,,f0d30258-7122-4004-a689-9ff50a00b3af.jpg,1,,8,1,2,2,,4,,海盗|掠夺者,4,,,,
风暴召唤者精英,风暴召唤者精英,176,娜阿西雅,Na'asiyah,目标|盟友,,f0d30258-7122-4004-a689-9ff50a00b3af.B.jpg,1,,,,2,2,,4,1,海盗|掠夺者,,,,,
逐梦者舰队,逐梦者舰队,177,逐梦者号,Dream-chaser,船|目标,,07a8f60f-926c-4342-bf04-e3af9a24df10.jpg,1,,,,4,4,,18,5,灰港岸|船,,,,警戒,
逐梦者舰队,逐梦者舰队,178,黎明之星号,Dawn Star,船|目标,,81632d10-625e-42f0-9e6b-09574a9ffbc3.jpg,1,,,,3,4,,16,3,灰港岸|船,,,,警戒,
逐梦者舰队,逐梦者舰队,179,纳瑞兰雅号,Nárelenya,船|目标,,32db1af6-e214-4958-9ca4-bdf3a73758b5.jpg,1,,,,3,5,,16,3,灰港岸|船,,,,警戒,
逐梦者舰队,逐梦者舰队,180,银翼号,Silver Wing,船|目标,,c9139d8c-0d9d-4d34-bfb5-8d40ca455bfc.jpg,1,,,,4,2,,14,2,灰港岸|船,,,,警戒|远攻,
追击风暴召唤者,,181,迅速撤离,Swift Departure,探险,1a,4489214b-775c-4e63-b8ec-c504526e478f.jpg,1,0,,,,,,,,,,,,,
追击风暴召唤者,,182,迅速撤离,Swift Departure,探险,1b,4489214b-775c-4e63-b8ec-c504526e478f.B.jpg,1,8,,,,,,,,,,,,航行,
追击风暴召唤者,,183,全速前进！,Full Sail Ahead!,探险,2a,315ddd38-e50f-4db0-8e5c-8030998e4f7f.jpg,1,0,,,,,,,,,,,,,
追击风暴召唤者,,184,全速前进！,Full Sail Ahead!,探险,2b,315ddd38-e50f-4db0-8e5c-8030998e4f7f.B.jpg,1,12,,,,,,,,,,,,航行,
追击风暴召唤者,,185,天气转坏,The Weather Turns Foul,探险,3a,0700c66d-3fe6-4619-9512-edb0241e6203.jpg,1,0,,,,,,,,,,,,,
追击风暴召唤者,,186,天气转坏,The Weather Turns Foul,探险,3b,0700c66d-3fe6-4619-9512-edb0241e6203.B.jpg,1,18,,,,,,,,,,,,航行,
追击风暴召唤者,,187,安德拉斯角,The Cape of Andrast,探险,4a,4576db5c-fdc2-45f2-ac8b-d1edb8150678.jpg,1,0,,,,,,,,,,,,,
追击风暴召唤者,,188,安德拉斯角,The Cape of Andrast,探险,4b,4576db5c-fdc2-45f2-ac8b-d1edb8150678.B.jpg,1,24,,,,,,,,,,,,航行,
追击风暴召唤者,,189,全速前进！,Full Sail Ahead! c,探险,2c,39df5c92-f79e-4d39-b8a3-f93631e183db.jpg,1,0,,,,,,,,,,,,,
追击风暴召唤者,,190,全速前进！,Full Sail Ahead! c,探险,2d,39df5c92-f79e-4d39-b8a3-f93631e183db.B.jpg,1,12,,,,,,,,,,,,,
追击风暴召唤者,,191,天气转坏,The Weather Turns Foul c,探险,3c,c7bcb6fc-dde8-4df0-bd0e-3791b0fef4d0.jpg,1,0,,,,,,,,,,,,,
追击风暴召唤者,,192,天气转坏,The Weather Turns Foul c,探险,3d,c7bcb6fc-dde8-4df0-bd0e-3791b0fef4d0.B.jpg,1,18,,,,,,,,,,,,,
追击风暴召唤者,,193,安德拉斯角,The Cape of Andrast c,探险,4c,076e69c7-156b-46ef-8d11-d6a659da68b2.jpg,1,0,,,,,,,,,,,,,
追击风暴召唤者,,194,安德拉斯角,The Cape of Andrast c,探险,4d,076e69c7-156b-46ef-8d11-d6a659da68b2.B.jpg,1,24,,,,,,,,,,,,,
追击风暴召唤者,追击风暴召唤者,195,风暴召唤者,The Stormcaller,敌人,,3065a397-5346-4148-8e0a-47009fe9b87d.jpg,1,,50,2,6,6,,18,,海盗|船,10,,,登船2,
追击风暴召唤者,追击风暴召唤者,196,萨伊尔的护卫舰,Sahír's Escort,敌人,,3de80480-6316-4c43-824c-44d3ad424a7b.jpg,3,,46,2,4,3,,6,,海盗|船,,,,登船1,
追击风暴召唤者,追击风暴召唤者,197,迅捷掠夺者,Swift Raider,敌人,,c084e998-a5c8-4efd-a6ed-441f9f912c99.jpg,2,,38,3,5,4,,8,,海盗|船,,,,登船2,
追击风暴召唤者,追击风暴召唤者,198,海盗小船,Corsair Skiff,敌人,,47afd15f-ffe3-4a90-9128-f2a79ba3b070.jpg,2,,24,1,2,2,,5,,海盗|船,,,,涌现|航行1,
追击风暴召唤者,追击风暴召唤者,199,海盗航海家,Corsair Seafarer,敌人,,cac948bb-b3dc-423d-8082-340e2596d623.jpg,2,,26,2,2,2,,3,,海盗|掠夺者,,,,,
追击风暴召唤者,追击风暴召唤者,200,黑蛇之剑,Serpent's Blade,敌人,,3309e01a-db7f-4754-bd41-21a0b4316415.jpg,2,,10,3,3,3,,4,,海盗,,,,,
追击风暴召唤者,追击风暴召唤者,201,锯齿暗礁,Jagged Reef,地区,,72b4cfd3-457b-4574-b638-c0fcce49dd68.jpg,2,,,1,,,4,,,海岸|海洋,,,,涌现,
追击风暴召唤者,追击风暴召唤者,202,隐蔽的海湾,Hidden Cove,地区,,595c34f1-60e3-401a-bd65-df6dda627896.jpg,2,,,3,,,3,,,海岸|海洋,,,,,
追击风暴召唤者,追击风暴召唤者,203,广阔的海岸,Vast Coastland,地区,,cf070c26-dd32-4ee8-bd6c-ffe9c011bd64.jpg,2,,,6,,,4,,,海岸|海洋,,,,航行1,
追击风暴召唤者,追击风暴召唤者,204,有人落水！,Man Overboard!,诡计,,962991f0-44af-47ba-9ff0-0f7ed302a543.jpg,2,,,,,,,,,,,,,,
追击风暴召唤者,追击风暴召唤者,205,肆虐的风暴,Raging Squall,诡计,,076b47e8-6bbe-41b3-9af8-edeca28e2c0c.jpg,2,,,,,,,,,天气,,,,厄运2,
深海之物,,206,拿下敌船！,Take the Ship!,探险,1a,cfa94470-c25c-4af3-ba71-941d1fa48a9c.jpg,1,0,,,,,,,,,,,,,
深海之物,,207,拿下敌船！,Take the Ship!,探险,1b,cfa94470-c25c-4af3-ba71-941d1fa48a9c.B.jpg,1,4,,,,,,,,,,,,,
深海之物,,208,计划改变,Change of Plans,探险,2a,de744bed-1461-4442-b9a1-193d00fd39a3.jpg,1,0,,,,,,,,,,,,,
深海之物,,209,计划改变,Change of Plans,探险,2b,de744bed-1461-4442-b9a1-193d00fd39a3.B.jpg,1,0,,,,,,,,,,,,,
深海之物,,210,守卫船只！,Defend the Ship!,探险,3a,81779961-8776-4c1d-953d-ed7bf1324fbf.jpg,1,0,,,,,,,,,,,,,
深海之物,,211,守卫船只！,Defend the Ship!,探险,3b,81779961-8776-4c1d-953d-ed7bf1324fbf.B.jpg,1,0,,,,,,,,,,,,,
风暴召唤者号,风暴召唤者号,212,风暴召唤者船舵,Helm of the Stormcaller,地区,,5585680f-0609-4cc4-96b5-37e53992af56.jpg,1,,,2,,,1,,,船|甲板,5,,,,
风暴召唤者号,风暴召唤者号,213,艏楼甲板,Forecastle Deck,地区,,5571b159-9889-4fcd-bc0e-13bea7443348.jpg,2,,,3,,,5,,,船|甲板,,,,,
风暴召唤者号,风暴召唤者号,214,露天甲板,Weather Deck,地区,,ec9d7726-89fa-41ee-a6ad-30761a6b79d3.jpg,2,,,2,,,3,,,船|甲板,,,,,
风暴召唤者号,风暴召唤者号,215,货舱,Cargo Hold,地区,,de903b76-e5e1-478b-a782-1e91f5a7261e.jpg,2,,,2,,,2,,,船,,,,,
风暴召唤者号,风暴召唤者号,216,船员宿舍,Crew Quarters,地区,,2dbe66bc-a6bf-42d7-92a5-d186dfe954c6.jpg,2,,,1,,,4,,,船|甲板,,,,,
风暴召唤者号,风暴召唤者号,217,后甲板,Quarter Deck,地区,,d7fd973b-6b4e-4f4b-9fc5-4886dcf80996.jpg,2,,,4,,,3,,,船|甲板,,,,,
风暴召唤者号,风暴召唤者号,218,保持稳定！,Hold Steady!,诡计,,5a4545c3-8b25-4fad-9798-b67921c9e7d3.jpg,2,,,,,,,,,,,,,,
深海之物,深海之物,219,深海之物,The Thing in the Depths,敌人,,b53fd0fc-5734-4bdc-b26f-c2133da31c3d.jpg,1,,50,2,5,0,,8,,生物,10,,,,
深海之物,深海之物,220,怪兽之眼,Eye of the Beast,敌人,,07067901-5306-47f0-8863-3c9cb194e1c6.jpg,2,,0,2,0,5,,5,,生物|身体,,,,涌现,
深海之物,深海之物,221,鞭笞触手,Thrashing Arm,敌人,,9c3c6e43-7548-4eaf-8225-2f51ecafbc4a.jpg,2,,23,3,5,1,,7,,生物|触须,,,,缠绕（最低印刷威胁）,
深海之物,深海之物,222,碾压触手,Crushing Arm,敌人,,db512bcc-1bc7-4008-ba2b-18d56abc3b67.jpg,3,,17,1,3,1,,5,,生物|触须,,,,涌现|缠绕（最高印刷任务点）,
深海之物,深海之物,223,扼杀触手,Grasping Arm,敌人,,5073c7a3-a3f6-4aca-b2a2-e0b830af3985.jpg,3,,20,2,4,1,,4,,生物|触须,,,,缠绕（最高印刷威胁）,
深海之物,深海之物,224,巨型触手,Giant Arm,敌人,,0daf1963-a45f-4fe1-bd0b-ad901a1213fa.jpg,3,,13,1,4,1,,6,,生物|触须,,,,缠绕（最低印刷任务点）,
深海之物,深海之物,225,来自深海,From the Depths,诡计,,5d811a82-3729-4b54-8748-e0abffd96e90.jpg,3,,,,,,,,,,,,,,
深海之物,深海之物,226,甩动的触须,Lashing Tentacles,诡计,,b1898a55-730c-493e-9fcd-24a51d817b64.jpg,2,,,,,,,,,,,,,,
欺诈者神庙,,227,搜寻小岛,Searching the Island,探险,,fb7d55c5-7198-45c5-97d7-be4c6a26fa68.jpg,1,,,,,,,,,,,,,,
欺诈者神庙,,228,搜寻小岛,Searching the Island,探险,,fb7d55c5-7198-45c5-97d7-be4c6a26fa68.B.jpg,1,,,,,,,,,,,,,,
欺诈者神庙,欺诈者神庙,229,洞穴入口,The Grotto's Entrance,地区,,f3bc3759-1f94-4983-bebb-66c7d9e3e0b3.B.jpg,1,,,2,,,8,,,废墟,,,,欺诈者神庙,
欺诈者神庙,欺诈者神庙,230,欺诈者神庙,Temple of the Deceived,地区,,f3bc3759-1f94-4983-bebb-66c7d9e3e0b3.jpg,-,,,4,,,,,,废墟,,,,,
欺诈者神庙,欺诈者神庙,231,神庙大厅,Temple Halls,地区,,3371c102-4aab-4b15-a738-a4b3483a6004.B.jpg,2,,,5,,,5,,,废墟,,,,欺诈者神庙,
欺诈者神庙,欺诈者神庙,233,神庙守卫,Temple Guardian,敌人,,e4f6c61b-afb1-4f12-81d5-4edd14a90d32.jpg,1,,50,X,6,4,,10,,亡灵,4,,,,
欺诈者神庙,欺诈者神庙,234,大门钥匙,Gate Key,目标,,447dd08d-693c-407f-8155-87164f212351.jpg,1,,,,,,,,,物品|宝物,,,,,
欺诈者神庙,欺诈者神庙,235,锯齿悬崖,Jagged Cliffs,地区,,1877b069-7015-4172-b5df-bbfd235b976f.B.jpg,2,,,4,,,4,,,山脉,,,,未知,
欺诈者神庙,欺诈者神庙,237,蜿蜒的洞穴,Winding Caverns,地区,,4c7d7a31-250d-4e48-a97a-2aebb3b2b47d.B.jpg,2,,,2,,,6,,,地底,,,,未知,
欺诈者神庙,欺诈者神庙,239,丛林小径,Jungle Path,地区,,dc8f31b6-73af-4aec-be26-8d297909d14d.B.jpg,2,,,3,,,3,,,森林,,,,未知,
欺诈者神庙,欺诈者神庙,241,背誓的亵渎者,Faithless Desecrator,敌人,,617ce2f8-f33e-4898-9fa4-38787ee9c2b6.jpg,3,,25,2,2,2,,4,,亡灵,,,,,
欺诈者神庙,欺诈者神庙,242,渎神的死者,Island Watcher,敌人,,90b5e33a-3708-40ab-8d20-5a997237e536.jpg,2,,35,1,2,3,,3,,亡灵,,,,,
欺诈者神庙,欺诈者神庙,243,小岛监视者,Profane Dead,敌人,,00e25526-9804-4b05-89d6-557d9ef7ad77.jpg,2,,46,3,4,1,,5,,亡灵,,,,,
欺诈者神庙,欺诈者神庙,244,深入废墟,Deeper into the Ruins,诡计,,c8decb35-cb3e-4dc9-ad15-d0cc80c157cb.jpg,4,,,,,,,,,,,,,,
欺诈者神庙,欺诈者神庙,245,猛烈的暴雨,Furious Rainstorm,诡计,,4fc6111a-93c3-4407-b067-1b82396b802f.jpg,3,,,,,,,,,,,,,,
欺诈者神庙,欺诈者神庙,246,消耗供给,Dwindling Supplies,诡计,,3e8eaee9-6fdb-4207-864f-151f0f98807b.jpg,3,,,,,,,,,,,,,,
欺诈者神庙,欺诈者神庙,247,沉没的废墟,Sunken Ruins,诡计,,441a78e5-078f-433d-b092-5d94d1101aa1.jpg,3,,,,,,,,,,,,,,
沉没的废墟,,248,石窟,The Grotto,探险,1a,31bd075d-e116-4a0f-81dd-942b52a6267c.jpg,1,0,,,,,,,,,,,,,
沉没的废墟,,249,石窟,The Grotto,探险,1b,31bd075d-e116-4a0f-81dd-942b52a6267c.B.jpg,1,15,,,,,,,,,,,,,
沉没的废墟,,250,萨伊尔的背叛,Sahír's Betrayal,探险,2a,e48c7313-d1cb-4291-9dc1-9fff6fb23e83.jpg,1,0,,,,,,,,,,,,,
沉没的废墟,,251,萨伊尔的背叛,Sahír's Betrayal,探险,2b,e48c7313-d1cb-4291-9dc1-9fff6fb23e83.B.jpg,1,0,,,,,,,,,,,,,
沉没的废墟,沉没的废墟,251,魔苟斯祭坛,Shrine to Morgoth,地区,,011a4573-f21a-4897-9b23-8b64391f5136.jpg,1,,,,,,18,,,废墟|地底|石窟,5,,,石窟,
沉没的废墟,沉没的废墟,252,魔苟斯祭坛,Shrine to Morgoth,地区,,011a4573-f21a-4897-9b23-8b64391f5136.B.jpg,1,,,,,,18,,,废墟|地底|水下,5,,,水下,
沉没的废墟,沉没的废墟,253,海蝎,Sea-Scorpion,敌人,,c49ec585-e306-4fda-a55b-497cb0fd1174.jpg,3,,30,2,2,2,,4,,生物,,,,,
沉没的废墟,沉没的废墟,254,穴鳗,Cave Eel,敌人,,34bfcbad-5557-48bc-8abd-3ac472ee4d3b.jpg,3,,20,3,3,4,,2,,生物,,,,,
沉没的废墟,沉没的废墟,255,水下石窟,Undersea Grotto,地区,,58f1cb80-d8de-4f96-98d0-0fdf61988da3.jpg,1,,,2,,,3,,,地底|石窟,,,,石窟,
沉没的废墟,沉没的废墟,256,黑暗深渊,Dark Abyss,地区,,58f1cb80-d8de-4f96-98d0-0fdf61988da3.B.jpg,1,,,5,,,12,,,地底|水下,2,,,水下,
沉没的废墟,沉没的废墟,257,被诅咒的洞穴,Cursed Caverns,地区,,6a3ae84d-6c74-4fbf-9254-b8c1d17c8384.jpg,1,,,3,,,5,,,地底|石窟,,,,石窟,
沉没的废墟,沉没的废墟,258,曲折的海穴,Twisting Hollow,地区,,6a3ae84d-6c74-4fbf-9254-b8c1d17c8384.B.jpg,1,,,4,,,14,,,地底|水下,2,,,水下,
沉没的废墟,沉没的废墟,259,被诅咒的洞穴,Cursed Caverns,地区,,4be4e706-1bd2-455a-a712-833c1bbcea55.jpg,1,,,3,,,5,,,地底|石窟,,,,石窟,
沉没的废墟,沉没的废墟,250,沉没的神庙,Sunken Temple,地区,,4be4e706-1bd2-455a-a712-833c1bbcea55.B.jpg,1,,,3,,,10,,,废墟|地底|水下,2,,,水下,
沉没的废墟,沉没的废墟,251,水浸的大厅,Water-Logged Halls,地区,,9c6798e3-9c5a-4609-b499-e6b1d6ae567b.jpg,1,,,2,,,4,,,废墟|地底|石窟,,,,石窟,
沉没的废墟,沉没的废墟,252,黑暗深渊,Dark Abyss,地区,,9c6798e3-9c5a-4609-b499-e6b1d6ae567b.B.jpg,1,,,5,,,12,,,地底|水下,2,,,水下,
沉没的废墟,沉没的废墟,253,水下石窟,Undersea Grotto,地区,,c95b4c6a-3dd0-4f11-8620-df7af65c11bc.jpg,1,,,2,,,3,,,地底|石窟,,,,石窟,
沉没的废墟,沉没的废墟,254,曲折的海穴,Twisting Hollow,地区,,c95b4c6a-3dd0-4f11-8620-df7af65c11bc.B.jpg,1,,,4,,,14,,,地底|水下,2,,,水下,
沉没的废墟,沉没的废墟,255,水浸的大厅,Water-Logged Halls,地区,,cb3ca114-400e-4abf-87e6-124b75e92cb4.jpg,1,,,2,,,4,,,废墟|地底|石窟,,,,石窟,
沉没的废墟,沉没的废墟,256,沉没的神庙,Sunken Temple,地区,,cb3ca114-400e-4abf-87e6-124b75e92cb4.B.jpg,1,,,3,,,10,,,废墟|地底|水下,2,,,水下,
沉没的废墟,沉没的废墟,257,淹没的洞穴,Drowned Cave,地区,,b59afed1-a224-4793-b149-0a6aadc9ba7e.jpg,2,,,3,,,4,,,地底|水下,,,,,
沉没的废墟,沉没的废墟,258,强大的暗流,Powerful Undertow,诡计,,befbd3c9-45b3-4e68-b19e-5981a6571835.jpg,2,,,,,,,,,险阻,,,,,
沉没的废墟,沉没的废墟,259,坚入深渊,Into the Abyss,诡计,,54014fda-7adc-49b0-96ac-656e849eaf7b.jpg,3,,,,,,,,,,,,,,
沉没的废墟,沉没的废墟,260,纠结和缠绕,Tangling and Grasping,诡计,,c0d85826-dc42-4ac8-851c-4ed671917e9d.jpg,4,,,,,,,,,险阻,,,,,
沉没的废墟,沉没的废墟,261,远古的深海,Ancient Depths,诡计,,a9321cbd-897f-4a77-a548-85ad00112273.jpg,3,,,,,,,,,,,,,,
科巴斯港的风暴,,262,机动制敌,Outmaneuver the Enemy,探险,1a,d0bf9c82-d626-4602-a383-4a5660a08c5f.jpg,1,0,,,,,,,,,,,,,
科巴斯港的风暴,,263,机动制敌,Outmaneuver the Enemy,探险,1b,d0bf9c82-d626-4602-a383-4a5660a08c5f.B.jpg,1,10,,,,,,,,,,,,航行,
科巴斯港的风暴,,264,海湾鏖战,Battle in the Bay,探险,2a,e3adad02-fa99-4905-bb20-d414ba76f75f.jpg,1,0,,,,,,,,,,,,,
科巴斯港的风暴,,265,海湾鏖战,Battle in the Bay,探险,2b,e3adad02-fa99-4905-bb20-d414ba76f75f.B.jpg,1,16,,,,,,,,,,,,航行,
科巴斯港的风暴,,266,突破舰队！,Break Through the Fleet!,探险,3a,233a2687-04a8-4c18-90cc-e90b9574b282.jpg,1,0,,,,,,,,,,,,,
科巴斯港的风暴,,267,突破舰队！,Break Through the Fleet!,探险,3b,233a2687-04a8-4c18-90cc-e90b9574b282.B.jpg,1,5,,,,,,,,,,,,航行,
科巴斯港的风暴,科巴斯港的风暴,268,多尔安罗斯战舰,Dol Amroth Warship,船|目标,,b585f28e-7612-4f07-83f7-0fed8d391e3d.jpg,2,,,,2,2,,8,2,刚铎|船,,,,,
科巴斯港的风暴,科巴斯港的风暴,269,掠夺者旗舰,Raider Flagship,敌人,,276e1411-be34-44fa-af2b-ebe9b36541f0.jpg,1,,50,3,5,3,,18,,海盗|船|独特,20,,,登船1,
科巴斯港的风暴,科巴斯港的风暴,270,海盗散兵,Corsair Skirmisher,敌人,,026a36ed-0979-4422-a581-a4decdc3c102.jpg,2,,28,3,4,6,,6,,海盗|船,,,,登船1,
科巴斯港的风暴,科巴斯港的风暴,271,攻城船,Siege Ship,敌人,,96f8534a-2683-4c8f-981d-daa470b792b7.jpg,3,,46,2,5,5,,7,,海盗|船,,,,箭术2,
科巴斯港的风暴,科巴斯港的风暴,272,重型巡洋舰,Heavy Cruiser,敌人,,0d74f863-83c9-4342-ac98-5bbaae0a573f.jpg,1,,42,5,7,5,,8,,海盗|船,,,,登船2|航行1,
科巴斯港的风暴,科巴斯港的风暴,273,安法拉斯海岸,Coast of Anfalas,地区,,a2b6cb8b-dacf-4c82-9097-2206610192ac.jpg,3,,,3,,,3,,,海岸|海洋,,,,航行1,
科巴斯港的风暴,科巴斯港的风暴,274,贝尔法拉斯岛,Belfalas Islet,地区,,d9bde488-6391-492f-b3df-6dd6dbe4f9e9.jpg,2,,,1,,,5,,,海岸|海洋,1,,,,
科巴斯港的风暴,科巴斯港的风暴,275,科巴斯港,Cobas Haven,地区,,c46688bb-24ac-4ee9-a23e-2bd481e8e56c.jpg,2,,,2,,,4,,,海岸|海洋,,,,,
科巴斯港的风暴,科巴斯港的风暴,276,全速猛撞！,Ramming Speed!,诡计,,aba39503-0700-40c9-9c06-729e82bf67fe.jpg,2,,,,,,,,,,,,,航行1,
科巴斯港的风暴,科巴斯港的风暴,277,船舱进水,Taking on Water,诡计,,783ecb94-e005-4ff7-8bc3-76196bba9249.jpg,2,,,,,,,,,,,,,,
科巴斯港的风暴,科巴斯港的风暴,278,掠夺者的强袭,The Raiders' Assault,诡计,,4d31f077-9f08-435b-ad3c-95d5b7967fa4.jpg,2,,,,,,,,,,,,,航行1,
科巴斯港的风暴,科巴斯港的风暴,279,海岸监视塔,Sea-ward Tower,目标,,434cf78e-2e8e-4d79-9662-eb50e33bc3f9.jpg,1,,,,,,,,,多尔安罗斯,,,,守护|航行1,
科巴斯港的风暴,科巴斯港的风暴,280,鸥之塔,Tower of the Gull,目标,,d198aa74-21ec-462a-ac1a-f9c2fcf526cb.jpg,1,,,,,,,,,多尔安罗斯,,,,守护|航行1,
科巴斯港的风暴,科巴斯港的风暴,281,烽火台,The Beacon,目标,,f410480c-ac41-431a-8db1-693746a7570e.jpg,1,,,,,,,,,多尔安罗斯,,,,守护|航行1,
科巴斯港的风暴,科巴斯港的风暴,282,鹭之塔,Tower of the Heron,目标,,52b5e077-36f2-4c13-89fb-4f7b3d73463b.jpg,1,,,,,,,,,多尔安罗斯,,,,守护|航行1,
海盗之城,,283,昂巴的海岸,The Coast of Umbar,探险,1a,c79ff551-f816-4106-9c55-e22d175e544c.jpg,1,0,,,,,,,,,,,,,
海盗之城,,284,昂巴的海岸,The Coast of Umbar,探险,1b,c79ff551-f816-4106-9c55-e22d175e544c.B.jpg,1,15,,,,,,,,,,,,航行,
海盗之城,,285,逐梦者号的命运,Fate of The Dream-chaser,探险,2a,19675b16-16ee-4477-a753-bd1cf7b51b7a.jpg,1,0,,,,,,,,,,,,,
海盗之城,,286,逐梦者号的命运,Fate of The Dream-chaser,探险,2b,19675b16-16ee-4477-a753-bd1cf7b51b7a.B.jpg,1,0,,,,,,,,,,,,,
海盗之城,,287,昂巴港,The Haven of Umbar,探险,3a,58d90f80-eb1a-46d9-a5c1-2e7b8c5b8451.jpg,1,0,,,,,,,,,,,,,
海盗之城,,288,昂巴港,The Haven of Umbar,探险,3b,58d90f80-eb1a-46d9-a5c1-2e7b8c5b8451.B.jpg,1,18,,,,,,,,,,,,,
海盗之城,,289,最终对决,Final Confrontation,探险,4a,7b8369b4-cca1-4076-8985-1c7be238ccb0.jpg,1,0,,,,,,,,,,,,,
海盗之城,,290,最终对决,Final Confrontation,探险,4b,7b8369b4-cca1-4076-8985-1c7be238ccb0.B.jpg,1,0,,,,,,,,,,,,,
乌姆巴尔海岸,乌姆巴尔海岸,291,风暴召唤者,Stormcaller,敌人,,c45dc401-bb07-42ec-ba4c-ee9105a3f349.jpg,1,,20,2,6,6,,18,,海盗|船|独特,10,,,,
